[2024-10-19 20:02:42,322][training.py][line:148][INFO] Epoch:[109/200]	 Best Acc=94.413	Loss: 0.468, Acc@1: 92.140, Acc@5: 99.811, cs_loss: 0.000, lr: 0.042
[2024-10-19 20:03:38,201][training.py][line:148][INFO] Epoch:[110/200]	 Best Acc=94.413	Loss: 0.570, Acc@1: 89.678, Acc@5: 99.432, cs_loss: 0.000, lr: 0.041
[2024-10-19 20:04:33,658][training.py][line:148][INFO] Epoch:[111/200]	 Best Acc=94.413	Loss: 0.586, Acc@1: 90.814, Acc@5: 99.527, cs_loss: 0.000, lr: 0.041
[2024-10-19 20:05:29,513][training.py][line:148][INFO] Epoch:[112/200]	 Best Acc=94.413	Loss: 0.385, Acc@1: 93.939, Acc@5: 99.811, cs_loss: 0.000, lr: 0.040
[2024-10-19 20:06:25,548][training.py][line:148][INFO] Epoch:[113/200]	 Best Acc=94.413	Loss: 0.367, Acc@1: 94.318, Acc@5: 99.811, cs_loss: 0.000, lr: 0.039
[2024-10-19 20:07:21,251][training.py][line:148][INFO] Epoch:[114/200]	 Best Acc=94.413	Loss: 0.417, Acc@1: 93.845, Acc@5: 99.621, cs_loss: 0.000, lr: 0.038
[2024-10-19 20:08:16,381][training.py][line:148][INFO] Epoch:[115/200]	 Best Acc=94.413	Loss: 0.515, Acc@1: 91.572, Acc@5: 99.432, cs_loss: 0.000, lr: 0.038
[2024-10-19 20:09:11,106][training.py][line:148][INFO] Epoch:[116/200]	 Best Acc=94.413	Loss: 0.575, Acc@1: 89.110, Acc@5: 98.864, cs_loss: 0.000, lr: 0.037
[2024-10-19 20:10:05,816][training.py][line:148][INFO] Epoch:[117/200]	 Best Acc=94.886	Loss: 0.384, Acc@1: 94.886, Acc@5: 99.811, cs_loss: 0.000, lr: 0.036
[2024-10-19 20:11:01,364][training.py][line:148][INFO] Epoch:[118/200]	 Best Acc=94.886	Loss: 0.431, Acc@1: 92.992, Acc@5: 99.621, cs_loss: 0.000, lr: 0.035
[2024-10-19 20:11:55,856][training.py][line:148][INFO] Epoch:[119/200]	 Best Acc=94.886	Loss: 0.358, Acc@1: 94.129, Acc@5: 99.905, cs_loss: 0.000, lr: 0.035
[2024-10-19 20:12:50,774][training.py][line:148][INFO] Epoch:[120/200]	 Best Acc=94.886	Loss: 0.388, Acc@1: 93.466, Acc@5: 99.621, cs_loss: 0.000, lr: 0.034
[2024-10-19 20:14:16,927][training.py][line:148][INFO] Epoch:[121/200]	 Best Acc=94.886	Loss: 0.419, Acc@1: 93.277, Acc@5: 99.905, cs_loss: 0.000, lr: 0.033
[2024-10-19 20:15:12,255][training.py][line:148][INFO] Epoch:[122/200]	 Best Acc=94.886	Loss: 0.410, Acc@1: 93.371, Acc@5: 99.621, cs_loss: 0.000, lr: 0.032
[2024-10-19 20:16:07,180][training.py][line:148][INFO] Epoch:[123/200]	 Best Acc=94.886	Loss: 0.386, Acc@1: 93.939, Acc@5: 99.905, cs_loss: 0.000, lr: 0.032
[2024-10-19 20:17:01,784][training.py][line:148][INFO] Epoch:[124/200]	 Best Acc=94.886	Loss: 0.411, Acc@1: 93.750, Acc@5: 99.716, cs_loss: 0.000, lr: 0.031
[2024-10-19 20:17:57,058][training.py][line:148][INFO] Epoch:[125/200]	 Best Acc=94.886	Loss: 0.412, Acc@1: 93.655, Acc@5: 99.716, cs_loss: 0.000, lr: 0.030
[2024-10-19 20:18:52,862][training.py][line:148][INFO] Epoch:[126/200]	 Best Acc=94.886	Loss: 0.410, Acc@1: 93.655, Acc@5: 99.811, cs_loss: 0.000, lr: 0.029
[2024-10-19 20:19:49,072][training.py][line:148][INFO] Epoch:[127/200]	 Best Acc=94.886	Loss: 0.361, Acc@1: 94.413, Acc@5: 99.905, cs_loss: 0.000, lr: 0.029
[2024-10-19 20:20:44,023][training.py][line:148][INFO] Epoch:[128/200]	 Best Acc=94.886	Loss: 0.449, Acc@1: 92.140, Acc@5: 99.811, cs_loss: 0.000, lr: 0.028
[2024-10-19 20:21:39,451][training.py][line:148][INFO] Epoch:[129/200]	 Best Acc=94.886	Loss: 0.382, Acc@1: 94.886, Acc@5: 99.811, cs_loss: 0.000, lr: 0.027
[2024-10-19 20:22:34,913][training.py][line:148][INFO] Epoch:[130/200]	 Best Acc=94.886	Loss: 0.501, Acc@1: 91.477, Acc@5: 99.621, cs_loss: 0.000, lr: 0.027
[2024-10-19 20:23:29,943][training.py][line:148][INFO] Epoch:[131/200]	 Best Acc=94.886	Loss: 0.518, Acc@1: 90.814, Acc@5: 99.621, cs_loss: 0.000, lr: 0.026
[2024-10-19 20:24:25,143][training.py][line:148][INFO] Epoch:[132/200]	 Best Acc=94.981	Loss: 0.328, Acc@1: 94.981, Acc@5: 99.905, cs_loss: 0.000, lr: 0.025
[2024-10-19 20:25:20,812][training.py][line:148][INFO] Epoch:[133/200]	 Best Acc=94.981	Loss: 0.394, Acc@1: 94.223, Acc@5: 99.905, cs_loss: 0.000, lr: 0.025
[2024-10-19 20:26:15,754][training.py][line:148][INFO] Epoch:[134/200]	 Best Acc=94.981	Loss: 0.383, Acc@1: 94.318, Acc@5: 99.811, cs_loss: 0.000, lr: 0.024
[2024-10-19 20:27:10,486][training.py][line:148][INFO] Epoch:[135/200]	 Best Acc=94.981	Loss: 0.343, Acc@1: 94.886, Acc@5: 99.905, cs_loss: 0.000, lr: 0.023
[2024-10-19 20:28:05,459][training.py][line:148][INFO] Epoch:[136/200]	 Best Acc=94.981	Loss: 0.380, Acc@1: 94.697, Acc@5: 99.905, cs_loss: 0.000, lr: 0.023
[2024-10-19 20:29:01,004][training.py][line:148][INFO] Epoch:[137/200]	 Best Acc=94.981	Loss: 0.416, Acc@1: 93.371, Acc@5: 99.905, cs_loss: 0.000, lr: 0.022
[2024-10-19 20:29:56,743][training.py][line:148][INFO] Epoch:[138/200]	 Best Acc=94.981	Loss: 0.350, Acc@1: 94.886, Acc@5: 99.905, cs_loss: 0.000, lr: 0.021
[2024-10-19 20:30:51,614][training.py][line:148][INFO] Epoch:[139/200]	 Best Acc=94.981	Loss: 0.441, Acc@1: 92.992, Acc@5: 99.811, cs_loss: 0.000, lr: 0.021
